Species,Pulses for validation,Pulses for testing,Pulses for training,Pulse counts,File counts
LABO,3766,3747,30101,37614,1124
NYFE,0,0,0,146,11
TABR,2032,1802,14777,18611,1025
MYAU,748,381,4783,5912,80
MYYU,3130,2844,25024,30998,939
COTO,909,597,4102,5608,186
MYSO,2694,2813,22786,28383,595
PESU,3787,3680,29191,36658,948
MYVE,0,0,0,2977,40
MYTH,3603,3807,26861,34271,916
ANPA,654,1202,5954,7810,265
NYMA,292,274,1647,2213,224
MYLU,4416,3444,29945,37805,1119
MYGR,1165,1029,8116,10310,451
LABL,417,609,2729,3755,165
LANO,2375,2087,17761,22223,1120
PAHE,2898,3387,25414,31699,925
CORA,0,0,0,202,3
NOISE,257,141,1871,2275,566
LASE,2115,2365,17926,22406,880
EUPE,183,135,2795,3113,182
EPFU,4459,4868,30557,39884,1123
MYVO,2556,2469,23075,28100,711
MYSE,1798,1206,11337,14341,360
IDPH,163,262,1307,1732,41
LAXA,0,0,0,173,4
EUFL,0,0,0,8,3
LACI,1916,1825,13980,17721,1127
MYCA,3796,4194,29820,37810,994
MYLE,1815,2779,18915,23509,907
LAIN,1790,3039,20576,25405,902
MYEV,3510,3328,29347,36185,1071
NYHU,4528,5036,37526,47090,1113
MYCI,4687,5179,38092,47958,1102
